basis,gsd.err,Low|Moderate,Moderate|Substantial,Substantial|High
Overall,1.67644542632153,35.3025838485066,136.349325738969,246.889023200403
Cases,1.75922475135539,40.990304208218,160.47497029808,307.048824766701
Positivity,2.07713488256204,177.540778138404,350.896271992305,487.54045745474
