Basis,Class,Sensitivity,Specificity,Pos.Pred.Value,Neg.Pred.Value,Precision,Recall,F1,Prevalence,Detection.Rate,Detection.Prevalence,Balanced.Accuracy
Recalibrated Level (Overall),Class: Low,0.522777233998171,0.995887661658772,0.814052271250812,0.983765608155133,0.814052271250812,0.522777233998171,0.636682528360513,0.0332911858298918,0.0174038740446699,0.0213793077659847,0.759332447828471
Recalibrated Level (Overall),Class: Moderate,0.808878558547274,0.898342608523141,0.827000148434021,0.886669992057885,0.827000148434021,0.808878558547274,0.817838981739789,0.37530455444106,0.303575807012511,0.367080716475507,0.853610583535208
Recalibrated Level (Overall),Class: High,0.919482940673304,0.834178770803645,0.889207818651451,0.877418192619321,0.889207818651451,0.919482940673304,0.904091996653504,0.591404259729049,0.543786127862385,0.611539975758508,0.876830855738475
Recalibrated Level (Cases only),Class: Low,0.431058551692046,0.989476569286436,0.585170340681362,0.980583093157015,0.585170340681363,0.431058551692046,0.496428868417892,0.0332911858298918,0.0143504503479439,0.0245235435740549,0.710267560489241
Recalibrated Level (Cases only),Class: Moderate,0.767161659566534,0.871952783754109,0.782581171612514,0.861751872563428,0.782581171612514,0.767161659566534,0.774794705651929,0.37530455444106,0.287919264827882,0.367909777633191,0.819557221660321
Recalibrated Level (Cases only),Class: High,0.896655878790397,0.810862999908484,0.872803142004795,0.844258501512318,0.872803142004795,0.896655878790397,0.8845687400589,0.591404259729049,0.530286106227734,0.607566678792755,0.85375943934944
Recalibrated Level (Positivity only),Class: Low,0.401100752555318,0.993956376721579,0.695636444592864,0.97967172150411,0.695636444592865,0.401100752555318,0.508818889623938,0.0332911858298918,0.0133531196898286,0.0191955435826019,0.697528564638449
Recalibrated Level (Positivity only),Class: Moderate,0.728749774043546,0.848510553877622,0.742936619299343,0.838886615648386,0.742936619299343,0.728749774043546,0.735774817097093,0.37530455444106,0.273503109246436,0.368137876289332,0.788630163960584
Recalibrated Level (Positivity only),Class: High,0.872915626041566,0.764019662958073,0.84262147858158,0.805959836543753,0.84262147858158,0.872915626041566,0.857501074747884,0.591404259729049,0.516246019625032,0.612666580128066,0.818467644499819
GM criteria,Class: Low,0.706728069190161,0.994415574942697,0.813370267774701,0.989945798518797,0.8133702677747,0.706728069190161,0.756308437293404,0.0332911858298918,0.0235278154826103,0.0289263284075776,0.850571822066429
GM criteria,Class: Moderate,0.851517786865063,0.913225098082139,0.854976297899038,0.911011115186774,0.854976297899038,0.851517786865063,0.853243537740962,0.37530455444106,0.319578503598029,0.373786389614941,0.882371442473601
GM criteria,Class: High,0.924849178986313,0.876828040633294,0.915739813257969,0.889637168928088,0.915739813257969,0.924849178986313,0.920271954277024,0.591404259729049,0.546959744059419,0.597287281977482,0.900838609809803
