Basis,Accuracy,Kappa,AccuracyLower,AccuracyUpper,AccuracyNull,AccuracyPValue,McnemarPValue
Recalibrated Level (Overall),0.864765808919566,0.729452534701141,0.864275099473793,0.865255389616968,0.591404259729049,0,0
Recalibrated Level (Cases only),0.83255582140356,0.666304833329069,0.832020183567444,0.83309043022594,0.591404259729049,0,0
Recalibrated Level (Positivity only),0.803102248561296,0.605307369200635,0.802531871701911,0.803671687581831,0.591404259729049,0,0
GM criteria,0.890066063140058,0.782530824753807,0.889617095026451,0.890513824133674,0.591404259729049,0,
